summary,kcut,klabel,noise_id,sigma_rad,sigma_tran,n_points,mean_z,min_z,max_z
Pk0,kmin-0.0_kmax-0.4,k<0.4,47,3.75875,4.5105,1,2.186142100496796,2.186142100496796,2.186142100496796
Pk0,kmin-0.0_kmax-0.4,k<0.4,48,4.5105,4.5105,1,2.425790406165388,2.425790406165388,2.425790406165388
Pk0,kmin-0.0_kmax-0.6,k<0.6,0,0.0,0.0,1,2.1794617062555357,2.1794617062555357,2.1794617062555357
Pk0,kmin-0.0_kmax-0.6,k<0.6,1,0.75175,0.0,1,2.215432506495327,2.215432506495327,2.215432506495327
Pk0,kmin-0.0_kmax-0.6,k<0.6,2,1.5035,0.0,1,2.1290614327142543,2.1290614327142543,2.1290614327142543
Pk0,kmin-0.0_kmax-0.6,k<0.6,3,2.25525,0.0,1,2.1038164996433286,2.1038164996433286,2.1038164996433286
Pk0,kmin-0.0_kmax-0.6,k<0.6,4,3.007,0.0,1,2.1947996577330553,2.1947996577330553,2.1947996577330553
Pk0,kmin-0.0_kmax-0.6,k<0.6,5,3.75875,0.0,1,2.3325052639956527,2.3325052639956527,2.3325052639956527
Pk0,kmin-0.0_kmax-0.6,k<0.6,6,4.5105,0.0,1,2.1197467790142746,2.1197467790142746,2.1197467790142746
Pk0,kmin-0.0_kmax-0.6,k<0.6,7,0.0,0.75175,1,2.1507955513631125,2.1507955513631125,2.1507955513631125
Pk0,kmin-0.0_kmax-0.6,k<0.6,8,0.75175,0.75175,1,2.0086563855737105,2.0086563855737105,2.0086563855737105
Pk0,kmin-0.0_kmax-0.6,k<0.6,9,1.5035,0.75175,1,2.040896017304927,2.040896017304927,2.040896017304927
Pk0,kmin-0.0_kmax-0.6,k<0.6,10,2.25525,0.75175,1,2.1040866396645237,2.1040866396645237,2.1040866396645237
Pk0,kmin-0.0_kmax-0.6,k<0.6,11,3.007,0.75175,1,2.2230375326166816,2.2230375326166816,2.2230375326166816
Pk0,kmin-0.0_kmax-0.6,k<0.6,12,3.75875,0.75175,1,2.3340153198760603,2.3340153198760603,2.3340153198760603
Pk0,kmin-0.0_kmax-0.6,k<0.6,13,4.5105,0.75175,1,1.9191629590214792,1.9191629590214792,1.9191629590214792
Pk0,kmin-0.0_kmax-0.6,k<0.6,14,0.0,1.5035,1,2.0545287089621858,2.0545287089621858,2.0545287089621858
Pk0,kmin-0.0_kmax-0.6,k<0.6,15,0.75175,1.5035,1,1.9929294093226295,1.9929294093226295,1.9929294093226295
Pk0,kmin-0.0_kmax-0.6,k<0.6,16,1.5035,1.5035,1,1.964106699911453,1.964106699911453,1.964106699911453
Pk0,kmin-0.0_kmax-0.6,k<0.6,17,2.25525,1.5035,1,2.0601940209113576,2.0601940209113576,2.0601940209113576
Pk0,kmin-0.0_kmax-0.6,k<0.6,18,3.007,1.5035,1,2.060751194429267,2.060751194429267,2.060751194429267
Pk0,kmin-0.0_kmax-0.6,k<0.6,19,3.75875,1.5035,1,1.8118873062276066,1.8118873062276066,1.8118873062276066
Pk0,kmin-0.0_kmax-0.6,k<0.6,20,4.5105,1.5035,1,1.921807354924193,1.921807354924193,1.921807354924193
Pk0,kmin-0.0_kmax-0.6,k<0.6,21,0.0,2.25525,1,1.9458865472764073,1.9458865472764073,1.9458865472764073
Pk0,kmin-0.0_kmax-0.6,k<0.6,22,0.75175,2.25525,1,2.015236539536014,2.015236539536014,2.015236539536014
Pk0,kmin-0.0_kmax-0.6,k<0.6,23,1.5035,2.25525,1,1.819407466665555,1.819407466665555,1.819407466665555
Pk0,kmin-0.0_kmax-0.6,k<0.6,24,2.25525,2.25525,1,1.9513303704704386,1.9513303704704386,1.9513303704704386
Pk0,kmin-0.0_kmax-0.6,k<0.6,25,3.007,2.25525,1,1.7563804577064777,1.7563804577064777,1.7563804577064777
Pk0,kmin-0.0_kmax-0.6,k<0.6,26,3.75875,2.25525,1,1.7308157387026306,1.7308157387026306,1.7308157387026306
Pk0,kmin-0.0_kmax-0.6,k<0.6,27,4.5105,2.25525,1,1.9405142950806802,1.9405142950806802,1.9405142950806802
Pk0,kmin-0.0_kmax-0.6,k<0.6,28,0.0,3.007,1,1.8739911754806895,1.8739911754806895,1.8739911754806895
Pk0,kmin-0.0_kmax-0.6,k<0.6,29,0.75175,3.007,1,1.935856065611947,1.935856065611947,1.935856065611947
Pk0,kmin-0.0_kmax-0.6,k<0.6,30,1.5035,3.007,1,1.7748145312293915,1.7748145312293915,1.7748145312293915
Pk0,kmin-0.0_kmax-0.6,k<0.6,31,2.25525,3.007,1,1.694430912863381,1.694430912863381,1.694430912863381
Pk0,kmin-0.0_kmax-0.6,k<0.6,32,3.007,3.007,1,1.7434481794254413,1.7434481794254413,1.7434481794254413
Pk0,kmin-0.0_kmax-0.6,k<0.6,33,3.75875,3.007,1,1.9192827391654164,1.9192827391654164,1.9192827391654164
Pk0,kmin-0.0_kmax-0.6,k<0.6,34,4.5105,3.007,1,2.0548757867262064,2.0548757867262064,2.0548757867262064
Pk0,kmin-0.0_kmax-0.6,k<0.6,35,0.0,3.75875,1,1.707389306584383,1.707389306584383,1.707389306584383
Pk0,kmin-0.0_kmax-0.6,k<0.6,36,0.75175,3.75875,1,1.7188774965795781,1.7188774965795781,1.7188774965795781
Pk0,kmin-0.0_kmax-0.6,k<0.6,37,1.5035,3.75875,1,1.7941264979619047,1.7941264979619047,1.7941264979619047
Pk0,kmin-0.0_kmax-0.6,k<0.6,38,2.25525,3.75875,1,1.8939716413265857,1.8939716413265857,1.8939716413265857
Pk0,kmin-0.0_kmax-0.6,k<0.6,39,3.007,3.75875,1,1.9648096208371715,1.9648096208371715,1.9648096208371715
Pk0,kmin-0.0_kmax-0.6,k<0.6,40,3.75875,3.75875,1,2.069221532646163,2.069221532646163,2.069221532646163
Pk0,kmin-0.0_kmax-0.6,k<0.6,41,4.5105,3.75875,1,2.247433594137512,2.247433594137512,2.247433594137512
Pk0,kmin-0.0_kmax-0.6,k<0.6,42,0.0,4.5105,1,1.9384468047739722,1.9384468047739722,1.9384468047739722
Pk0,kmin-0.0_kmax-0.6,k<0.6,43,0.75175,4.5105,1,2.0009458167205647,2.0009458167205647,2.0009458167205647
Pk0,kmin-0.0_kmax-0.6,k<0.6,44,1.5035,4.5105,1,2.015353952404595,2.015353952404595,2.015353952404595
Pk0,kmin-0.0_kmax-0.6,k<0.6,45,2.25525,4.5105,1,2.0854722937591923,2.0854722937591923,2.0854722937591923
Pk0,kmin-0.0_kmax-0.6,k<0.6,46,3.007,4.5105,1,2.2592303784902272,2.2592303784902272,2.2592303784902272
Pk0,kmin-0.0_kmax-0.6,k<0.6,47,3.75875,4.5105,1,2.3460882427157683,2.3460882427157683,2.3460882427157683
Pk0,kmin-0.0_kmax-0.6,k<0.6,48,4.5105,4.5105,1,2.5983551794561213,2.5983551794561213,2.5983551794561213
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,0,0.0,0.0,1,0.6633844906722539,0.6633844906722539,0.6633844906722539
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,1,0.75175,0.0,1,0.654039841202435,0.654039841202435,0.654039841202435
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,2,1.5035,0.0,1,0.7150766452760811,0.7150766452760811,0.7150766452760811
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,3,2.25525,0.0,1,0.6922481004117839,0.6922481004117839,0.6922481004117839
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,4,3.007,0.0,1,0.6867834382345626,0.6867834382345626,0.6867834382345626
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,5,3.75875,0.0,1,0.9506736279279453,0.9506736279279453,0.9506736279279453
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,6,4.5105,0.0,1,1.4446804710444294,1.4446804710444294,1.4446804710444294
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,7,0.0,0.75175,1,0.6168472804384785,0.6168472804384785,0.6168472804384785
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,8,0.75175,0.75175,1,0.6863740413057436,0.6863740413057436,0.6863740413057436
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,9,1.5035,0.75175,1,0.6480850031494231,0.6480850031494231,0.6480850031494231
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,10,2.25525,0.75175,1,0.660923882104531,0.660923882104531,0.660923882104531
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,11,3.007,0.75175,1,0.6165187910062175,0.6165187910062175,0.6165187910062175
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,12,3.75875,0.75175,1,0.9412651432401273,0.9412651432401273,0.9412651432401273
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,13,4.5105,0.75175,1,1.5750939286574053,1.5750939286574053,1.5750939286574053
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,14,0.0,1.5035,1,0.5418731646735652,0.5418731646735652,0.5418731646735652
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,15,0.75175,1.5035,1,0.5283608312180061,0.5283608312180061,0.5283608312180061
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,16,1.5035,1.5035,1,0.587596780806998,0.587596780806998,0.587596780806998
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,17,2.25525,1.5035,1,0.5591332270628993,0.5591332270628993,0.5591332270628993
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,18,3.007,1.5035,1,0.5845641971974269,0.5845641971974269,0.5845641971974269
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,19,3.75875,1.5035,1,1.2373523660024779,1.2373523660024779,1.2373523660024779
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,20,4.5105,1.5035,1,1.517041236668828,1.517041236668828,1.517041236668828
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,21,0.0,2.25525,1,0.44534689712568665,0.44534689712568665,0.44534689712568665
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,22,0.75175,2.25525,1,0.49632930548915416,0.49632930548915416,0.49632930548915416
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,23,1.5035,2.25525,1,0.4528397867076313,0.4528397867076313,0.4528397867076313
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,24,2.25525,2.25525,1,0.6633629846565064,0.6633629846565064,0.6633629846565064
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,25,3.007,2.25525,1,1.1235939796260856,1.1235939796260856,1.1235939796260856
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,26,3.75875,2.25525,1,1.3019815765091283,1.3019815765091283,1.3019815765091283
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,27,4.5105,2.25525,1,1.440702177653639,1.440702177653639,1.440702177653639
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,28,0.0,3.007,1,0.6406677204041298,0.6406677204041298,0.6406677204041298
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,29,0.75175,3.007,1,0.688638713073604,0.688638713073604,0.688638713073604
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,30,1.5035,3.007,1,0.860154974460158,0.860154974460158,0.860154974460158
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,31,2.25525,3.007,1,1.0366475965636843,1.0366475965636843,1.0366475965636843
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,32,3.007,3.007,1,1.1589331272126373,1.1589331272126373,1.1589331272126373
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,33,3.75875,3.007,1,1.307210764168554,1.307210764168554,1.307210764168554
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,34,4.5105,3.007,1,1.3313062345973214,1.3313062345973214,1.3313062345973214
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,35,0.0,3.75875,1,0.8734634962645957,0.8734634962645957,0.8734634962645957
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,36,0.75175,3.75875,1,0.9523596833847863,0.9523596833847863,0.9523596833847863
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,37,1.5035,3.75875,1,0.9170997645015075,0.9170997645015075,0.9170997645015075
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,38,2.25525,3.75875,1,1.1667283462470022,1.1667283462470022,1.1667283462470022
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,39,3.007,3.75875,1,1.0929561455546106,1.0929561455546106,1.0929561455546106
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,40,3.75875,3.75875,1,1.2055027852163425,1.2055027852163425,1.2055027852163425
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,41,4.5105,3.75875,1,1.374584904298736,1.374584904298736,1.374584904298736
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,42,0.0,4.5105,1,0.8865059694905163,0.8865059694905163,0.8865059694905163
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,43,0.75175,4.5105,1,0.8677610897224756,0.8677610897224756,0.8677610897224756
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,44,1.5035,4.5105,1,0.8263477726921766,0.8263477726921766,0.8263477726921766
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,45,2.25525,4.5105,1,0.8551760068633272,0.8551760068633272,0.8551760068633272
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,46,3.007,4.5105,1,1.1055274181198247,1.1055274181198247,1.1055274181198247
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,47,3.75875,4.5105,1,1.090256941112862,1.090256941112862,1.090256941112862
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.2,k<0.2,48,4.5105,4.5105,1,1.1048976896996368,1.1048976896996368,1.1048976896996368
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.4,k<0.4,0,0.0,0.0,1,1.2234341533547533,1.2234341533547533,1.2234341533547533
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.4,k<0.4,1,0.75175,0.0,1,1.1826172227183753,1.1826172227183753,1.1826172227183753
Pk0+Pk2+Pk4,kmin-0.0_kmax-0.4,k<0.4,2,1.5035,0.0,1,1.2215461172954827,1.2215461172954827,1.2215461172954827
